TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
293,0.2050480337,0.1940295824,0.2166921951
294,0.2289975991,0.2166921951,0.242001796
295,0.2557444685,0.242001796,0.2702675528
296,0.2856153665,0.2702675528,0.3018347438
297,0.3189751787,0.3018347438,0.3370889758
298,0.3562314097,0.3370889758,0.3764608943
299,0.3978391604,0.3764608943,0.4204314443
300,0.4443066872,0.4204314443,0.469537745
301,0.496201611,0.469537745,0.5243796507
302,0.5541578505,0.5243796507,0.5856270791
303,0.618883366,0.5856270791,0.6540281937
304,0.6911688077,0.6540281937,0.7304185435
305,0.771897173,0.7304185435,0.8157312695
306,0.8620545938,0.8157312695,0.9110085031
307,0.9627423816,0.9110085031,1.017414097
308,1.075190481,1.017414097,1.13624784
309,1.200772494,1.13624784,1.268961339
310,1.341022458,1.268961339,1.417175746
311,1.497653587,1.417175746,1.582701563
312,1.672579198,1.582701563,1.767560759
313,1.867936083,1.767560759,1.974011468
314,2.086110608,1.974011468,2.204575575
315,2.32976787,2.204575575,2.46206952
316,2.601884247,2.46206952,2.749638701
317,2.905783757,2.749638701,3.070795899
318,3.245178664,3.070795899,3.429464187
319,3.624214821,3.429464187,3.830024853
320,4.047522319,3.830024853,4.277370917
321,4.520272039,4.277370917,4.776966904
322,5.048238823,4.776966904,5.334915592
323,5.637872012,5.334915592,5.958032565
324,6.296374229,5.958032565,6.653929464
325,7.03178936,6.653929464,7.431106968
326,7.853100817,7.431106968,8.299058635
327,8.770341273,8.299058635,9.268386866
328,9.794715213,9.268386866,10.35093242
329,10.93873581,10.35093242,11.55991906
330,12.21637775,11.55991906,12.91011508
331,13.643248,12.91011508,14.41801369
332,15.23677638,14.41801369,16.10203453
333,17.01642852,16.10203453,17.98274864
334,19.00394365,17.98274864,20.08312974
335,21.2236001,20.08312974,22.4288349
336,23.70251195,22.4288349,25.0485179
337,26.47096015,25.0485179,27.97417931
338,29.5627625,27.97417931,31.24155733
339,33.01568668,31.24155733,34.89056438
340,36.87191166,34.89056438,38.96577466
